day,month,date_m_d,followers
1,7,07/01,0
2,7,07/02,3
3,7,07/03,8
4,7,07/04,12
5,7,07/05,15
6,7,07/06,19
7,7,07/07,28
8,7,07/08,35
9,7,07/09,40
10,7,07/10,52
11,7,07/11,61
12,7,07/12,65
13,7,07/13,70
14,7,07/14,89
15,7,07/15,102
16,7,07/16,110
17,7,07/17,118
18,7,07/18,125
19,7,07/19,140
20,7,07/20,168
21,7,07/21,195
22,7,07/22,210
23,7,07/23,218
24,7,07/24,225
25,7,07/25,240
26,7,07/26,258
27,7,07/27,270
28,7,07/28,290
29,7,07/29,312
30,7,07/30,330
31,7,07/31,345
32,8,08/01,360
33,8,08/02,378
34,8,08/03,405
35,8,08/04,420
36,8,08/05,432
37,8,08/06,445
38,8,08/07,510
39,8,08/08,558
40,8,08/09,580
41,8,08/10,595
42,8,08/11,608
43,8,08/12,620
44,8,08/13,635
45,8,08/14,690
46,8,08/15,720
47,8,08/16,738
48,8,08/17,750
49,8,08/18,765
50,8,08/19,780
51,8,08/20,810
52,8,08/21,835
53,8,08/22,852
54,8,08/23,870
55,8,08/24,890
56,8,08/25,920
57,8,08/26,945
58,8,08/27,960
59,8,08/28,978
60,8,08/29,1005
61,8,08/30,1050
62,8,08/31,1080
63,9,09/01,1110
64,9,09/02,1125
65,9,09/03,1145
66,9,09/04,1180
67,9,09/05,1220
68,9,09/06,1250
69,9,09/07,1270
70,9,09/08,1295
71,9,09/09,1350
72,9,09/10,1390
73,9,09/11,1410
74,9,09/12,1430
75,9,09/13,1455
76,9,09/14,1520
77,9,09/15,1580
78,9,09/16,1610
79,9,09/17,1635
80,9,09/18,1660
81,9,09/19,1690
82,9,09/20,1730
83,9,09/21,1770
84,9,09/22,1800
85,9,09/23,1825
86,9,09/24,1855
87,9,09/25,1900
88,9,09/26,1940
89,9,09/27,1965
90,9,09/28,2000
